Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
38107,67952-65-2,"Pyrazine, methyl(methylthio)-",TRUE, CAS,1, Scout
38110,67952-68-5,"Bicyclo[2.2.1]heptan-2-ol, ethyl-1,3,3-trimethyl-",FALSE, ,0, 
38112,67952-71-0,"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with dihydro-2,5-furandione, 1,3-diisocyanatomethylbenzene, 2-oxepanone and 2,2'-[oxybis(methylene)]bis[2-(hydroxymethyl)-1,3-propanediol]",FALSE, ,0, 
38117,67952-77-6,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2,5-furandione and 2,4,4-trimethylpentene, compd. with morpholine",FALSE, ,0, 
38118,67952-78-7,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, 2-(diethylamino)ethyl 2-methyl-2-propenoate, ethenylbenzene, ethyl 2-propenoate, methyl 2-methyl-2-propenoate and 1,2-propanediol mono(2-methyl-2-propenoate)",FALSE, ,0, 
38121,67952-81-2,"Cuprate(4-), [.mu.-[[6,6'-[[3,3'-di(hydroxy-.kappa.O)[1,1'-biphenyl]-4,4'-diyl]bis[(2,1-diazenediyl-.kappa.N1)[4,5-dihydro-3-methyl-5-(oxo-.kappa.O)-1H-pyrazole-4,1-diyl]]]bis[1,3-naphthalenedisulfonato]](8-)]]di-, sodium (1:4)",FALSE, ,0, 
38122,67952-82-3,"Propanenitrile, 3-[(2-aminoethyl)amino]-, homopolymer, acetate",FALSE, ,0, 
38124,67952-84-5,"Butanedioic acid, 2-methylene-, polymer with 1,3-butadiene, ethenylbenzene, 2-propenamide and 2-propenoic acid",FALSE, ,0, 
38128,67952-88-9,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)] and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",FALSE, ,0, 
38140,67953-02-0,"1,3-Butanediol, 2-(hydroxymethyl)-",FALSE, ,0, 
38145,nan,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ammonium bismuth(3+) salt (2:3:1)",FALSE, ,0, 
38156,67953-18-8,"Butanedioic acid, 2-sulfo-, 4-[2-[(2-hydroxyethyl)(1-oxooctadecyl)amino]ethyl] ester, ammonium sodium salt (1:1:1)",FALSE, ,0, 
38157,67953-19-9,"2-Butenedioic acid, 1,4-bis(1,3-dimethylbutyl) ester",FALSE, ,0, 
38160,67953-22-4,"Phosphoric acid, bis(2-methylpropyl) ester, potassium salt (1:1)",FALSE, ,0, 
38161,67953-23-5,"Octadecanamide, N-[2-[[2-[[2-[(2-aminoethyl)amino]ethyl]amino]ethyl]amino]ethyl]-, acetate (1:1)",FALSE, ,0, 
38174,67953-39-3,"Methanaminium, N-[4-[bis[4-(dimethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, tetracosa-.mu.-oxododecaoxo[.mu.12-[phosphato(3-)-.kappa.O:.kappa.O:.kappa.O:.kappa.O':.kappa.O':.kappa.O':.kappa.O'':.kappa.O'':.kappa.O'':.kappa.O''':.kappa.O''':.kappa.O''']]dodecamolybdate(3-) (3:1)",FALSE, ,0, 
38175,67953-40-6,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,3-isobenzofurandione",FALSE, ,0, 
38177,67953-42-8,"2-Propenoic acid, polymer with butyl 2-propenoate, ethenyl acetate and methyl 2-propenoate",FALSE, ,0, 
38179,67953-44-0,"Hexanedioic acid, polymer with (2E)-2-butenedioic acid, 1,2-ethanediol, 4,5,6,7,8,8-hexachloro-3a,4,7,7a-tetrahydro-4,7-methanoisobenzofuran-1,3-dione and 2,2'-oxybis[ethanol]",FALSE, ,0, 
38187,67953-52-0,"Phosphoric acid, polymer with 2,2',2''-nitrilotris[ethanol]",FALSE, ,0, 
38191,67953-56-4,"1,6-Hexanediamine, N1-(6-aminohexyl)-, polymer with 2-(chloromethyl)oxirane",FALSE, ,0, 
38193,67953-58-6,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene, 2-hydroxyethyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-propenoic acid",FALSE, ,0, 
38198,67953-63-3,"2-Propenoic acid, 2-methyl-, polymer with 2-ethylhexyl 2-propenoate, ethyl 2-propenoate and N-(hydroxymethyl)-2-propenamide",FALSE, ,0, 
38210,67953-76-8,"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, potassium salt (1:?)",TRUE, CAS,2, Scout
