Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
922141-49-9,"1-Bromo-4-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-50-2,"1,1,2,2-Tetrafluoro-5-methyl-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-52-4,"5-Chloro-1,1,2,2-tetrafluoro-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-53-5,"5-Bromo-1,1,2,2-tetrafluoro-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-54-6,"1-(2,2,3,3-Tetrafluorocyclopropyl)naphthalene",FALSE, ,0, 
922141-55-7,"1,1,2,2-Tetrafluoro-7-methyl-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-57-9,"7-Chloro-1,1,2,2-tetrafluoro-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-58-0,"7-Bromo-1,1,2,2-tetrafluoro-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-59-1,"1,1,2,2-Tetrafluoro-6-methyl-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-61-5,"6-Chloro-1,1,2,2-tetrafluoro-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-62-6,"6-Bromo-1,1,2,2-tetrafluoro-2,3-dihydro-1H-indene",FALSE, ,0, 
922141-63-7,"2,2,3,3-Tetrafluoro-2,3-dihydro-1H-cyclopenta[a]naphthalene",FALSE, ,0, 
922147-45-3,"D-chiro-Inositol, 3-O-[2-amino-4-[(carboxyiminomethyl)amino]-2,3,4,6-tetradeoxy-alpha-D- arabino-hexopyranosyl]-, mixt. with 2-chloro-N-[3-[[[2,6-dimethyl-4-[perfluoro- propyl]phenyl]amino]carbonyl]-2-fluorophenyl]-N-methyl-3-pyridinecarboxamide",FALSE, ,0, 
922168-38-5,"1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl heptafluorobutanoate",FALSE, ,0, 
922168-41-0,"1,1,1,3,3,3-Hexafluoropropan-2-yl heptafluorobutanoate",FALSE, ,0, 
922421-40-7,"5-(4-tert-Butylphenyl)-N-(2,2,3,3,4,4,4-heptafluorobutyl)-1,2-oxazole-3-carboxamide",FALSE, ,0, 
922523-98-6,"1,1,1,2,5,5,5-Heptafluoro-4-iodo-2-(trifluoromethyl)pentane",FALSE, ,0, 
922523-99-7,"1,1,1,2,7,7,7-Heptafluoro-6-iodo-2,4-bis(trifluoromethyl)heptane",FALSE, ,0, 
922524-00-3,"1,1,1,2,3,3,5,5,5-Nonafluoro-4-iodo-2-(trifluoromethyl)pentane",FALSE, ,0, 
922524-01-4,"1,1,1,2,3,3,5,5,7,7,7-Undecafluoro-6-iodo-2,4-bis(trifluoromethyl)heptane",FALSE, ,0, 
922524-02-5,"1,1,1,2,2,3,3,4,4,5,5,6,6,9,9,9-Hexadecafluoro-8-iodononane",FALSE, ,0, 
922734-66-5,Trifluoroacetic acid--3-methyl-4-phenoxy-8-(piperazin-1-yl)quinoline (2/1),FALSE, ,0, 
92315-01-0,"3,3,3',3'-Tetrakis(trifluoromethyl)-3H,3'H-1,1'-spirobi[[2,1]benzoxatellurole]",FALSE, ,0, 
923298-12-8,"Scotchgard PM 930 (PM930, PM-930)",FALSE, ,0, 
92332-25-7,"Phosphoric acid, bis(gamma-mu-perfluoro-C8-14-alkyl) esters, compds. with diethanolamine",FALSE, ,0, 
92332-26-8,"Phosphoric acid, mono(gamma-mu-perfluoro-C8-14-alkyl) esters, compds. with diethanolamine",FALSE, ,0, 
92340-26-6,1-[2-[Ethyl[(perfluorooctyl)sulfonyl]amino]ethyl] butanedioate potassium,FALSE, ,0, 
923569-77-1,"(1Z)-2,2,3,3,4,4,4-Heptafluoro-N-(4-methoxy-2-methylphenyl)butanimidoyl chloride",FALSE, ,0, 
923569-78-2,"(1Z)-N-[2-(Bromomethyl)-4-methoxyphenyl]-2,2,3,3,4,4,4-heptafluorobutanimidoyl chloride",FALSE, ,0, 
923569-79-3,2-(Heptafluoropropyl)-5-methoxy-1H-indole,FALSE, ,0, 
92401-44-0,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctanol phosphate ammonium salt",FALSE, ,0, 
92406-76-3,"2,3,4,5,6,6,7,7-Octafluorocyclohepta-2,4-dien-1-one",FALSE, ,0, 
92417-47-5,"(Dichloromethyl)[3-(1,2,2,2-tetrafluoroethoxy)propyl]silane",FALSE, ,0, 
92455-16-8,"1,1'-(1,1,1,3,3,3-Hexafluoropropane-2,2-diyl)bis(4-ethynylbenzene)",FALSE, ,0, 
92455-18-0,"1,1'-(1,1,1,3,3,3-Hexafluoropropane-2,2-diyl)bis(3-ethynylbenzene)",FALSE, ,0, 
924894-08-6,"2,2,3,3,4,4,5,5,6,6,6-Undecafluorohexyl nonafluorobutane-1-sulfonate",FALSE, ,0, 
924894-11-1,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Tricosafluorododecyl nonafluorobutane-1-
sulfonate",FALSE, ,0, 
92519-33-0,"2,2,3,3-Tetrafluoro-3-(methanesulfonyl)propanoic anhydride",FALSE, ,0, 
925457-51-8,"4,12-Bis(1,1-dimethylethyl)-2,10-bis(1,1,1,2,2,3,3-heptafluoropropyl)-1,5,9,13-
tetraazacyclohexadeca-1,4,9,12-tetraene",FALSE, ,0, 
925686-63-1,"3-Ethenyl-1,2,2-trifluoro-1-(trifluoromethyl)cyclobutane",FALSE, ,0, 
92589-42-9,"N-[5-(2-Chloro-1,1,2-trifluoroethoxy)-2-hydroxy-4-{2-[3- (pentadecyloxy)phenoxy]butanamido}phenyl]-2,2,3,3,4,4,4-heptafluorobutanamide",FALSE, ,0, 
925918-64-5,"Ethene, 1,1,2,2-tetrafluoro-, oxidized, polymd., reduced, Me esters, reduced, 2,3-
dihydroxypropyl ethers",FALSE,,0,
92604-91-6,"3,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Pentadecafluoro-3-decen-2-one",FALSE, ,0, 
92610-11-2,"(6Z)-1,1,1,2,2,3,3,4,4,5,5,6-Dodecafluoro-6-dodecene",FALSE, ,0, 
92612-52-7,Perfluorohexanoate,TRUE, CAS,1, Scout
92614-00-1,"Pentyl 2,2,3,3,4-pentafluoro-4-oxobutanoate",FALSE, ,0, 
92639-87-7,Tetrakis(trifluoromethoxy)methane,FALSE, ,0, 
92639-88-8,"2,2,3,3,7,7,8,8-Octafluoro-1,4,6,9-tetraoxaspiro[4.4]nonane",FALSE, ,0, 
92676-68-1,"1,1,2,2-Tetrafluoro-5-(methylamino)hex-4-en-3-one",FALSE, ,0, 
92681-65-7,"1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctan-2-yl carbamate",FALSE, ,0, 
926914-55-8,Pyflubumide,TRUE, CAS,1, Scout
926927-42-6,Ethyl 2-amino-8-(pentafluoroethyl)-3H-1-benzazepine-4-carboxylate,FALSE, ,0, 
926927-43-7,2-Nitro-4-(pentafluoroethyl)benzaldehyde,FALSE, ,0, 
92737-01-4,"1-bromo-3,3,4,4,4-pentafluorobutan-2-one",TRUE, CAS,1, Scout
92737-03-6,"(Perfluoropropyl)chloromethyl-2,4-difluorophenylmethanol",FALSE, ,0, 
927408-18-2,4-[(Perfluoro-1-ethyl-2-methyl-1-propen-1-yl)oxy]benzoic acid sodium salt,FALSE, ,0, 
927408-19-3,"N-(Carboxylatomethyl)-N,N-dimethyl-4-[[perfluoro-2-[1-(methyl)ethyl]-1,3-dimethyl-1-buten-1-
yl]oxy]benzenaminium",FALSE, ,0, 
927408-20-6,"N-(Carboxylatomethyl)-N,N-dimethyl-4-[[perfluoro-1-ethyl-2-methyl-1-propen-1-
yl]oxy]benzenaminium",FALSE, ,0, 
92746-93-5,2-Hydroxyethyl heptadecafluorononanoate,FALSE, ,0, 
927670-12-0,Heptadecafluorooctane-2-sulfonic acid,FALSE, ,0, 
927673-93-6,"N,N′-Bis[(N,N-dimethyl-N-oxidoaminopropyl)]-N,N'-
bis(perfluorobutanesulfonyl)ethylenediamine",FALSE, ,0, 
92818-39-8,"Triethoxy(2,2,3,3-tetrafluorocyclobutyl)silane",FALSE, ,0, 
928201-45-0,"Trifluoroacetic acid--2-({6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-
1(2H)-yl}methyl)-4-fluorobenzonitrile (1/1)",FALSE, ,0, 
92832-08-1,"3-Amino-4,4,5,5-tetrafluoro-1-phenylpent-2-ene-1-thione",FALSE, ,0, 
92835-82-0,"(2E)-4,4,5,5,6,6,6-Heptafluoro-2-iodo-2-hexen-1-ol",FALSE, ,0, 
92835-92-2,"(2Z)-4,4,5,5,6,6,6-Heptafluoro-2-iodohex-2-en-1-ol",FALSE, ,0, 
928655-42-9,"4,5,5,5-Tetrafluoro-4-{1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-
(heptafluoropropoxy)propoxy]propoxy}-N-propylpentan-1-amine",FALSE, ,0, 
92886-04-9,"4,4-Bis[(3,3,4,4,5,5,6,6,6-nonafluorohexyl)sulfanyl]pentanoic acid",FALSE, ,0, 
92914-86-8,4-(Heptadecafluorooctyl)-1H-pyrazole,FALSE, ,0, 
92916-37-5,3-(Trifluorosilyl)propyl nonafluoropentanoate,FALSE, ,0, 
929211-36-9,"2-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)pyridine-4-carbonitrile",FALSE, ,0, 
92942-81-9,"1,2,2,3,3,4,4a,5,5,6,6,7,7,8-Tetradecafluoro-4-(trifluoromethyl)-1,2,3,4,4a,5,6,7-
octahydroquinoline",FALSE, ,0, 
92978-07-9,"1,1,1,2,2,3,3,4,5,5,5-Undecafluoro-4-(pentafluoroethoxy)pentane",FALSE, ,0, 
92982-03-1,"1,2-Ethanediyl bis(perfluorobutanesulfonate)",FALSE, ,0, 
93080-42-3,"Butan-2-yl N-(2,2,3,3,4,4,4-heptafluorobutanoyl)-D-alaninate",FALSE, ,0, 
93128-61-1,"Sodium (2S)-3-carboxy-2-({2-hydroxy-3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-
tridecafluorooctyl)sulfanyl]propyl}amino)propanoate",FALSE, ,0, 
93129-79-4,"4,4'-(1,1,1,3,3,3-Hexafluoropropane-2,2-diyl)di(benzene-1-thiol)",FALSE, ,0, 
93131-73-8,4-Methylphenyl nonafluorobutane-1-sulfonate,FALSE, ,0, 
93131-75-0,"(4-propan-2-ylphenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",FALSE, ,0, 
93131-76-1,"(3,5-ditert-butylphenyl) 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",FALSE, ,0, 
931415-53-1,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluorononadecane",FALSE, ,0, 
931-91-9,Perfluorocyclopropane,FALSE, ,0, 
93200-92-1,Perfluoro-2-methyl-2-(pentyloxy)pentane,FALSE, ,0, 
93238-00-7,1-Isocyanato-4-(nonadecafluorononyl)benzene,FALSE, ,0, 
93238-01-8,4-(Nonadecafluorononyl)benzoyl azide,FALSE, ,0, 
932710-51-5,"1-(4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-1-oxononyl)-2,5-pyrrolidinedione",FALSE, ,0, 
932710-57-1,"[2,7-Bis((perfluorohexyl)ethyl)-9H-fluoren-9-yl]methyl carbonochloridate",FALSE, ,0, 
93339-87-8,"2-Bromo-3-(bromomethyl)-4,4,5,5,6,6,6-heptafluorohexan-3-ol",FALSE, ,0, 
93367-04-5,"Cadmium bis(1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide)",FALSE, ,0, 
93393-77-2,"8-(2-Chloroethanesulfonyl)-1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorooctane",FALSE, ,0, 
933999-90-7,"Ethene, 1,1,2,2-tetrafluoro-, oxidized, polymd., reduced, Me esters, reduced, 2,3- dihydroxypropyl ethers, N -[2-[(2-methyl-1-oxo-2- propen-1-yl)oxy]ethyl]carbamates",FALSE, ,0, 
93402-66-5,"1,1,2,2,3,3-Hexafluoro-1-methoxy-3-[(trifluoroethenyl)oxy]propane",FALSE, ,0, 
93416-26-3,"6-Methyl-2-(undecafluoropentyl)-1,3-benzoxazole",FALSE, ,0, 
93416-31-0,"4-(4-Methoxyphenyl)-2-methyl-5-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)-1,2-
oxazolidine",FALSE, ,0, 
93417-72-2,"3-(Bromomethyl)-1,1,1,2,2,4,4,5,5,6,6,6-dodecafluorohexan-3-ol",FALSE, ,0, 
93449-21-9,"2,2,3,3-Tetrafluoro-3-methoxypropanoic acid",FALSE, ,0, 
93449-49-1,Methyl 4H-perfluorobutyl ketone,FALSE, ,0, 
93454-69-4,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluoro-14-iodoicosane",FALSE, ,0, 
93454-72-9,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluorodocosane",FALSE, ,0, 
93454-73-0,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluorohexacosane",FALSE, ,0, 
93454-74-1,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluorooctacosane",FALSE, ,0, 
93454-75-2,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluorotriacontane",FALSE, ,0, 
935443-55-3,"1,1,2-Trifluoro-2-(heptafluoropropoxy)ethane-1-sulfonic acid",FALSE, ,0, 
935476-95-2,"1,1,1,4,4,5,5,6,6,7,7,8,8,8-Tetradecafluorooct-2-ene",FALSE, ,0, 
935477-01-3,"1,1,1,4,4,5,5,6,6,7,7,8,8,9,9,9-Hexadecafluoro-2-nonene",FALSE, ,0, 
935477-04-6,"1,1,1,2,2,5,5,6,6,7,7,8,8,9,9,9-Hexadecafluoro-3-nonene",FALSE, ,0, 
935477-07-9,"1,1,1,2,2,3,3,6,6,7,7,8,8,9,9,9-Hexadecafluoro-4-nonene",FALSE, ,0, 
935477-16-0,"1,1,1,2,2,3,3,6,6,7,7,8,8,9,9,10,10,10-Octadecafluoro-4-decene",FALSE, ,0, 
935553-88-1,"1,1,1,2,2,3,3,4,4,7,7,7-Dodecafluoro-6-iodoheptane",FALSE, ,0, 
935553-89-2,"1,1,1,2,2,3,3,4,4,7,7,8,8,8-Tetradecafluoro-5-iodooctane",FALSE, ,0, 
93561-63-8,"2-Phenyl-2-(1,2,2,2-tetrafluoroethyl)-1,3-dioxolane",FALSE, ,0, 
93572-72-6,"Sulfonic acids, C6-12-alkane, perfluoro",FALSE, ,0, 
93611-23-5,"Copolymer of tetrafluoroethylene/hexafluoropropene/nonafluorobutyl trifluorovinyl ether (a number-average molecular weight is not less than 1,000 and the polymer is insoluble in water, lipid soluble solvent, usual solvent, acid and alkali)",FALSE, ,0, 
93620-85-0,"1-(4-Chloro-1,1,2,2,3,3,4,4-octafluorobutyl)-3-nitrobenzene",FALSE, ,0, 
936224-58-7,"2-(1,1,2,2-Tetrafluoroethyl)-1,4,5,6-tetrahydropyrimidine",FALSE, ,0, 
936224-60-1,"2-(1,1,2,2-Tetrafluoroethyl)-4,5,6,7-tetrahydro-1H-1,3-diazepine",FALSE, ,0, 
936233-19-1,"N~5~-(5-Hydroxy-4,6-dimethylpyrimidin-2-yl)-L-ornithine--heptafluorobutanoic acid (1/2)",FALSE, ,0, 
93644-65-6,"Ammonium 1,1,2,2-tetrafluoro-2-{[1,1,1,2,3,3-hexafluoro-3-(pentafluoroethoxy)propan-2-
yl]oxy}ethane-1-sulfonate",FALSE, ,0, 
93682-62-3,"2,3,3,4,4,5,5,6,6,7,7,7-Dodecafluoro-2-hydroxyheptanoic acid",FALSE, ,0, 
93683-27-3,Perfluoro-2-methyl-3-(propan-2-yl)pentan-3-yl,FALSE, ,0, 
93697-09-7,1-Methyl-2-(nonafluorobutyl)benzene,FALSE, ,0, 
93697-17-7,1-(Tridecafluorohexyl)naphthalene,FALSE, ,0, 
937038-66-9,Potassium bis(perfluorohexyl)difluoroborate,FALSE, ,0, 
